17455,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:-0.6133333333333333,ay:0.22333333333333333,az:-0.22111111111111112,q:47.4375,rV:    55,lV:    85,Camera:0
17492,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:0.06555555555555556,ay:0.3611111111111111,az:0.16666666666666666,q:46.375,rV:    55,lV:    85,Camera:0
17528,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:-0.1922222222222222,ay:0.3377777777777778,az:0.2311111111111111,q:44.8125,rV:    55,lV:    85,Camera:0
17563,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:0.5522222222222222,ay:0.28555555555555556,az:0.11222222222222222,q:43.9375,rV:    55,lV:    85,Camera:0
17600,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:-0.9977777777777778,ay:0.20444444444444446,az:-0.22777777777777777,q:43.375,rV:    55,lV:    85,Camera:0
17636,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:-1.001111111111111,ay:0.08444444444444445,az:-0.4988888888888889,q: 43.75,rV:    55,lV:    85,Camera:0
17675,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:-0.5888888888888889,ay:0.03333333333333333,az:-0.3277777777777778,q:44.125,rV:    55,lV:    85,Camera:0
17710,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:-0.3333333333333333,ay:0.027777777777777776,az:-0.21777777777777776,q:  44.5,rV:    55,lV:    85,Camera:0
17745,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:-0.20222222222222222,ay:0.024444444444444446,az:-0.03222222222222222,q:44.5625,rV:    55,lV:    85,Camera:0
17782,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:0.03111111111111111,ay: -0.03,az:0.03333333333333333,q:  44.5,rV:    55,lV:    85,Camera:0
17818,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:0.6044444444444445,ay:-0.05444444444444444,az:0.17555555555555555,q:  44.5,rV:    55,lV:    85,Camera:0
17852,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:1.0122222222222221,ay:  0.01,az:0.35333333333333333,q:44.125,rV:    55,lV:    85,Camera:0
17888,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:   0.5,ay:-0.058888888888888886,az:0.08555555555555555,q:44.0625,rV:    55,lV:    85,Camera:0
17923,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:-0.1622222222222222,ay:0.08555555555555555,az:0.10222222222222223,q:43.8125,rV:    55,lV:    85,Camera:0
17957,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:0.3511111111111111,ay:0.09444444444444444,az:0.16333333333333333,q:43.0625,rV:    55,lV:    85,Camera:0
17993,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:-0.1322222222222222,ay:0.2633333333333333,az:0.2311111111111111,q:42.0625,rV:    55,lV:    85,Camera:0
18031,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:0.0033333333333333335,ay:0.23222222222222222,az:0.08777777777777777,q:40.875,rV:    55,lV:    85,Camera:0
18065,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:-0.4633333333333333,ay:0.28888888888888886,az:-0.08777777777777777,q:40.1875,rV:    55,lV:    85,Camera:0
18099,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:0.17888888888888888,ay:  0.19,az:-0.3622222222222222,q:39.9375,rV:    55,lV:    85,Camera:0
18134,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:-0.2922222222222222,ay:0.3333333333333333,az:-0.47888888888888886,q:39.875,rV:    55,lV:    85,Camera:0
18172,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:0.4766666666666667,ay:0.2966666666666667,az:-0.6322222222222222,q:40.125,rV:    55,lV:    85,Camera:0
18206,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:0.09111111111111111,ay:  0.24,az:-0.7166666666666667,q:40.9375,rV:    55,lV:    85,Camera:0
18242,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:0.43555555555555553,ay:0.19777777777777777,az:-0.7311111111111112,q:41.6875,rV:    55,lV:    85,Camera:0
18278,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:-0.021111111111111112,ay:0.18333333333333332,az:-0.7111111111111111,q:42.9375,rV:    55,lV:    85,Camera:0
18312,state:7,Time:19:52:46,Lat:35.55465667,Lng:139.65622500,ax:0.19777777777777777,ay:   0.3,az:-0.5288888888888889,q:43.375,rV:    55,lV:    85,Camera:0
18347,state:7,Time:19:52:47,Lat:35.55467333,Lng:139.65623000,ax:0.057777777777777775,ay:0.13777777777777778,az:-0.5211111111111111,q:44.0625,rV:    55,lV:    85,Camera:0
18382,state:7,Time:19:52:47,Lat:35.55467333,Lng:139.65623000,ax:-0.7911111111111111,ay: -0.06,az:-0.5477777777777778,q: 44.75,rV:    55,lV:    85,Camera:0
18420,state:7,Time:19:52:47,Lat:35.55467333,Lng:139.65623000,ax:-0.7355555555555555,ay:0.24555555555555555,az:0.3655555555555556,q:43.8125,rV:    55,lV:    85,Camera:0
18454,state:7,Time:19:52:47,Lat:35.55467333,Lng:139.65623000,ax:0.08888888888888889,ay:0.28555555555555556,az:  0.64,q:42.125,rV:    55,lV:    85,Camera:0
18492,state:7,Time:19:52:47,Lat:35.55467333,Lng:139.65623000,ax:-0.5211111111111111,ay:0.3466666666666667,az:   0.8,q:  39.5,rV:    55,lV:    85,Camera:0
18529,state:7,Time:19:52:47,Lat:35.55467333,Lng:139.65623000,ax:-0.7222222222222222,ay:0.31222222222222223,az:0.5911111111111111,q:36.9375,rV:    55,lV:    85,Camera:0
18565,state:7,Time:19:52:47,Lat:35.55467333,Lng:139.65623000,ax:-0.3988888888888889,ay:0.16333333333333333,az:0.21888888888888888,q:36.125,rV:    55,lV:    85,Camera:0
18600,state:7,Time:19:52:47,Lat:35.55467333,Lng:139.65623000,ax:0.3022222222222222,ay:0.22666666666666666,az:  0.04,q: 35.25,rV:    55,lV:    85,Camera:0
18635,state:7,Time:19:52:47,Lat:35.55467333,Lng:139.65623000,ax:0.6944444444444444,ay:0.2111111111111111,az:0.014444444444444444,q: 34.75,rV:    55,lV:    85,Camera:0
18673,state:7,Time:19:52:47,Lat:35.55467333,Lng:139.65623000,ax:-0.03111111111111111,ay:0.12222222222222222,az:-0.3877777777777778,q: 34.75,rV:    55,lV:    85,Camera:0
18707,state:7,Time:19:52:47,Lat:35.55467333,Lng:139.65623000,ax:0.44333333333333336,ay:-0.03666666666666667,az:-0.5677777777777778,q:36.0625,rV:    55,lV:    85,Camera:0
18743,state:7,Time:19:52:47,Lat:35.55467333,Lng:139.65623000,ax:0.09888888888888889,ay:  0.03,az:-0.48777777777777775,q:36.875,rV:    55,lV:    85,Camera:0
18780,state:7,Time:19:52:47,Lat:35.55467333,Lng:139.65623000,ax:0.5477777777777778,ay:0.016666666666666666,az:-0.23444444444444446,q: 37.75,rV:    55,lV:    85,Camera:0
18815,state:7,Time:19:52:47,Lat:35.55467333,Lng:139.65623000,ax:-0.6255555555555555,ay:0.10666666666666667,az:-0.04888888888888889,q:  37.5,rV:    55,lV:    85,Camera:0
18850,state:7,Time:19:52:47,Lat:35.55467333,Lng:139.65623000,ax:-0.15777777777777777,ay:-0.0077777777777777776,az:-0.3288888888888889,q:37.6875,rV:    55,lV:    85,Camera:0
18885,state:7,Time:19:52:47,Lat:35.55467333,Lng:139.65623000,ax:-1.3777777777777778,ay: -0.04,az:-0.39111111111111113,q:38.1875,rV:    55,lV:    85,Camera:0
18923,state:7,Time:19:52:47,Lat:35.55467333,Lng:139.65623000,ax:0.006666666666666667,ay:   0.0,az:-0.12444444444444444,q:38.6875,rV:    55,lV:    85,Camera:0
18957,state:7,Time:19:52:47,Lat:35.55467333,Lng:139.65623000,ax:-0.10888888888888888,ay:0.06666666666666667,az:  0.48,q:37.9375,rV:    55,lV:    85,Camera:0
18993,state:7,Time:19:52:47,Lat:35.55467333,Lng:139.65623000,ax: -0.07,ay:-0.0011111111111111111,az:0.6233333333333333,q:36.8125,rV:    55,lV:    85,Camera:0
19029,state:7,Time:19:52:47,Lat:35.55467333,Lng:139.65623000,ax:-0.16111111111111112,ay:-0.14444444444444443,az:   0.5,q:36.125,rV:    55,lV:    85,Camera:0
19064,state:7,Time:19:52:47,Lat:35.55467333,Lng:139.65623000,ax:-0.18888888888888888,ay:-0.3433333333333333,az:0.27444444444444444,q:36.125,rV:    55,lV:    85,Camera:0
19098,state:7,Time:19:52:47,Lat:35.55467333,Lng:139.65623000,ax:0.5055555555555555,ay:-0.45555555555555555,az:0.31222222222222223,q:36.6875,rV:    55,lV:    85,Camera:0
19133,state:7,Time:19:52:47,Lat:35.55467333,Lng:139.65623000,ax:0.6566666666666666,ay:-0.4722222222222222,az:0.46111111111111114,q:37.125,rV:    55,lV:    85,Camera:0
