8714,state:0,Time:16:43:56,Lat:35.55522667,Lng:139.65507667,ax:   0.0,ay:0.0022222222222222222,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
8751,state:0,Time:16:43:56,Lat:35.55522667,Lng:139.65507667,ax:0.0011111111111111111,ay:0.0011111111111111111,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
8786,state:0,Time:16:43:56,Lat:35.55522667,Lng:139.65507667,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
8820,state:0,Time:16:43:56,Lat:35.55522667,Lng:139.65507667,ax:0.0011111111111111111,ay:   0.0,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
8855,state:0,Time:16:43:56,Lat:35.55522667,Lng:139.65507667,ax:-0.0011111111111111111,ay:0.0044444444444444444,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
8893,state:0,Time:16:43:56,Lat:35.55522667,Lng:139.65507667,ax:0.0011111111111111111,ay:   0.0,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
8929,state:0,Time:16:43:56,Lat:35.55522667,Lng:139.65507667,ax:   0.0,ay:   0.0,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
8965,state:0,Time:16:43:56,Lat:35.55522667,Lng:139.65507667,ax:   0.0,ay:-0.0022222222222222222,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
9003,state:0,Time:16:43:56,Lat:35.55522667,Lng:139.65507667,ax:-0.0011111111111111111,ay:-0.0033333333333333335,az:0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
9038,state:0,Time:16:43:56,Lat:35.55522667,Lng:139.65507667,ax:   0.0,ay:-0.0022222222222222222,az:0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
9074,state:0,Time:16:43:56,Lat:35.55522667,Lng:139.65507667,ax:   0.0,ay:-0.0022222222222222222,az:0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
9111,state:0,Time:16:43:56,Lat:35.55522667,Lng:139.65507667,ax:0.0011111111111111111,ay:0.0022222222222222222,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
9146,state:0,Time:16:43:56,Lat:35.55522667,Lng:139.65507667,ax:   0.0,ay:-0.005555555555555556,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
9183,state:0,Time:16:43:56,Lat:35.55522667,Lng:139.65507667,ax:0.0011111111111111111,ay:   0.0,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
9217,state:0,Time:16:43:56,Lat:35.55522667,Lng:139.65507667,ax:   0.0,ay:-0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
9253,state:0,Time:16:43:56,Lat:35.55522667,Lng:139.65507667,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
9288,state:0,Time:16:43:56,Lat:35.55522667,Lng:139.65507667,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
9327,state:0,Time:16:43:57,Lat:35.55522833,Lng:139.65507833,ax:-0.0022222222222222222,ay:   0.0,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
9364,state:0,Time:16:43:57,Lat:35.55522833,Lng:139.65507833,ax:0.0022222222222222222,ay:   0.0,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
9403,state:0,Time:16:43:57,Lat:35.55522833,Lng:139.65507833,ax:-0.0011111111111111111,ay:-0.0033333333333333335,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
9439,state:0,Time:16:43:57,Lat:35.55522833,Lng:139.65507833,ax:   0.0,ay:-0.0011111111111111111,az:0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
9474,state:0,Time:16:43:57,Lat:35.55522833,Lng:139.65507833,ax:0.0011111111111111111,ay:-0.0044444444444444444,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
9511,state:0,Time:16:43:57,Lat:35.55522833,Lng:139.65507833,ax:-0.0011111111111111111,ay:-0.0033333333333333335,az:-0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
9545,state:0,Time:16:43:57,Lat:35.55522833,Lng:139.65507833,ax:-0.0011111111111111111,ay:-0.0022222222222222222,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
9583,state:0,Time:16:43:57,Lat:35.55522833,Lng:139.65507833,ax:   0.0,ay:   0.0,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
9617,state:0,Time:16:43:57,Lat:35.55522833,Lng:139.65507833,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
9654,state:0,Time:16:43:57,Lat:35.55522833,Lng:139.65507833,ax:0.0033333333333333335,ay:0.0033333333333333335,az:-0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
9693,state:0,Time:16:43:57,Lat:35.55522833,Lng:139.65507833,ax:   0.0,ay:-0.0011111111111111111,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
9730,state:0,Time:16:43:57,Lat:35.55522833,Lng:139.65507833,ax:0.0011111111111111111,ay:0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
9764,state:0,Time:16:43:57,Lat:35.55522833,Lng:139.65507833,ax:0.0022222222222222222,ay:   0.0,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
9802,state:0,Time:16:43:57,Lat:35.55522833,Lng:139.65507833,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:-0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
9837,state:0,Time:16:43:57,Lat:35.55522833,Lng:139.65507833,ax:   0.0,ay:0.0011111111111111111,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
9874,state:0,Time:16:43:57,Lat:35.55522833,Lng:139.65507833,ax:-0.0022222222222222222,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
9912,state:0,Time:16:43:57,Lat:35.55522833,Lng:139.65507833,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
9947,state:0,Time:16:43:57,Lat:35.55522833,Lng:139.65507833,ax:   0.0,ay:-0.005555555555555556,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
9983,state:0,Time:16:43:57,Lat:35.55522833,Lng:139.65507833,ax:   0.0,ay:0.0022222222222222222,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
10017,state:0,Time:16:43:57,Lat:35.55522833,Lng:139.65507833,ax:0.0011111111111111111,ay:-0.0044444444444444444,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
10053,state:0,Time:16:43:57,Lat:35.55522833,Lng:139.65507833,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
