7231,state:0,Time:11:39:30,Lat:39.59425333,Lng:-119.20688167,ax:-0.0011111111111111111,ay:0.0044444444444444444,az:-0.0011111111111111111,q:   0.0,Camera:0
7266,state:0,Time:11:39:30,Lat:39.59425333,Lng:-119.20688167,ax:-0.0011111111111111111,ay:-0.0022222222222222222,az:0.0011111111111111111,q:   0.0,Camera:0
7302,state:0,Time:11:39:30,Lat:39.59425333,Lng:-119.20688167,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:   0.0,Camera:0
7337,state:0,Time:11:39:30,Lat:39.59425333,Lng:-119.20688167,ax:-0.005555555555555556,ay:   0.0,az:0.0011111111111111111,q:   0.0,Camera:0
7374,state:0,Time:11:39:30,Lat:39.59425333,Lng:-119.20688167,ax:-0.0022222222222222222,ay:   0.0,az:-0.0022222222222222222,q:   0.0,Camera:0
7407,state:0,Time:11:39:30,Lat:39.59425333,Lng:-119.20688167,ax:-0.005555555555555556,ay:0.0011111111111111111,az:   0.0,q:   0.0,Camera:0
7443,state:0,Time:11:39:31,Lat:39.59425167,Lng:-119.20688000,ax:   0.0,ay:-0.0022222222222222222,az:-0.0011111111111111111,q:   0.0,Camera:0
7477,state:0,Time:11:39:31,Lat:39.59425167,Lng:-119.20688000,ax:0.0011111111111111111,ay:   0.0,az:0.0011111111111111111,q:   0.0,Camera:0
7514,state:0,Time:11:39:31,Lat:39.59425167,Lng:-119.20688000,ax:-0.011111111111111112,ay:0.0011111111111111111,az:   0.0,q: 360.0,Camera:0
7549,state:0,Time:11:39:31,Lat:39.59425167,Lng:-119.20688000,ax: -0.01,ay:0.0011111111111111111,az:-0.0011111111111111111,q:359.9375,Camera:0
7585,state:0,Time:11:39:31,Lat:39.59425167,Lng:-119.20688000,ax:-0.0044444444444444444,ay:   0.0,az:-0.0011111111111111111,q:359.9375,Camera:0
7622,state:0,Time:11:39:31,Lat:39.59425167,Lng:-119.20688000,ax:0.0011111111111111111,ay:0.0011111111111111111,az:-0.0011111111111111111,q:359.9375,Camera:0
7656,state:0,Time:11:39:31,Lat:39.59425167,Lng:-119.20688000,ax:-0.0033333333333333335,ay:0.0011111111111111111,az:-0.0011111111111111111,q:359.9375,Camera:0
7690,state:0,Time:11:39:31,Lat:39.59425167,Lng:-119.20688000,ax:-0.0033333333333333335,ay:0.0022222222222222222,az:0.0011111111111111111,q:359.9375,Camera:0
7725,state:0,Time:11:39:31,Lat:39.59425167,Lng:-119.20688000,ax:0.0044444444444444444,ay:-0.0022222222222222222,az:   0.0,q:359.9375,Camera:0
7760,state:0,Time:11:39:31,Lat:39.59425167,Lng:-119.20688000,ax:-0.0022222222222222222,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:359.9375,Camera:0
7795,state:0,Time:11:39:31,Lat:39.59425167,Lng:-119.20688000,ax:0.0033333333333333335,ay:0.0022222222222222222,az:0.0011111111111111111,q:359.9375,Camera:0
7832,state:0,Time:11:39:31,Lat:39.59425167,Lng:-119.20688000,ax:0.0044444444444444444,ay:-0.0077777777777777776,az:   0.0,q:359.9375,Camera:0
7866,state:0,Time:11:39:31,Lat:39.59425167,Lng:-119.20688000,ax:0.0033333333333333335,ay:0.0022222222222222222,az:-0.0011111111111111111,q:359.9375,Camera:0
7904,state:0,Time:11:39:31,Lat:39.59425167,Lng:-119.20688000,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:   0.0,q:359.9375,Camera:0
7937,state:0,Time:11:39:31,Lat:39.59425167,Lng:-119.20688000,ax:   0.0,ay:   0.0,az:0.0011111111111111111,q:359.9375,Camera:0
7974,state:0,Time:11:39:31,Lat:39.59425167,Lng:-119.20688000,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:0.0011111111111111111,q:359.9375,Camera:0
8008,state:0,Time:11:39:31,Lat:39.59425167,Lng:-119.20688000,ax:0.0011111111111111111,ay:0.0011111111111111111,az:0.0011111111111111111,q:359.9375,Camera:0
8044,state:0,Time:11:39:31,Lat:39.59425167,Lng:-119.20688000,ax:   0.0,ay:0.0022222222222222222,az:   0.0,q:359.9375,Camera:0
