5304,state:6,Time:21:43:53,Lat:0.00000000,Lng:0.00000000,ax:-0.0033333333333333335,ay:0.0022222222222222222,az:0.0022222222222222222,q:   0.0,rV:     0,lV:     0,Camera:0,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
29604,state:6,Time:21:44:17,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:0.0011111111111111111,az:0.0011111111111111111,q: 0.125,rV:     0,lV:     0,Camera:23,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.0006399384872265519, 'y': 0.03791655150948233, 'z': 0.1572014419174379, 'roll': -154.72459953166265, 'pitch': -0.2060097809499152, 'yaw': 0.2992609426246173, 'norm': 0.16171075332382898, 'rvec': array([-2.7004323 , -0.00814085, -0.00327352])}},AR-move:straight,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
30652,state:6,Time:21:44:18,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:0.0033333333333333335,az:0.0011111111111111111,q: 0.125,rV:     0,lV:     0,Camera:24,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.0006192008823168749, 'y': 0.038103310518933405, 'z': 0.15788640491632625, 'roll': -155.4300853076025, 'pitch': -0.1808199902739251, 'yaw': 0.024532686553027504, 'norm': 0.16242032674402873, 'rvec': array([-2.71276302e+00, -1.51291784e-03, -4.15414527e-03])}},AR-move:straight,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
31676,state:6,Time:21:44:19,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:-0.0033333333333333335,az:   0.0,q: 0.125,rV:     0,lV:     0,Camera:25,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.0006399384872265519, 'y': 0.03791655150948233, 'z': 0.1572014419174379, 'roll': -154.72459953166265, 'pitch': -0.2060097809499152, 'yaw': 0.2992609426246173, 'norm': 0.16171075332382898, 'rvec': array([-2.7004323 , -0.00814085, -0.00327352])}},AR-move:straight,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
32676,state:6,Time:21:44:20,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:-0.0011111111111111111,az:0.0033333333333333335,q: 0.125,rV:     0,lV:     0,Camera:26,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.0006399384872265519, 'y': 0.03791655150948233, 'z': 0.1572014419174379, 'roll': -154.72459953166265, 'pitch': -0.2060097809499152, 'yaw': 0.2992609426246173, 'norm': 0.16171075332382898, 'rvec': array([-2.7004323 , -0.00814085, -0.00327352])}},AR-move:straight,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
33700,state:6,Time:21:44:21,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:-0.0011111111111111111,az:-0.0011111111111111111,q: 0.125,rV:     0,lV:     0,Camera:27,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.0006399384872265519, 'y': 0.03791655150948233, 'z': 0.1572014419174379, 'roll': -154.72459953166265, 'pitch': -0.2060097809499152, 'yaw': 0.2992609426246173, 'norm': 0.16171075332382898, 'rvec': array([-2.7004323 , -0.00814085, -0.00327352])}},AR-move:straight,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
34744,state:6,Time:21:44:22,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:0.005555555555555556,az:   0.0,q: 0.125,rV:     0,lV:     0,Camera:28,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.0006399384872265519, 'y': 0.03791655150948233, 'z': 0.1572014419174379, 'roll': -154.72459953166265, 'pitch': -0.2060097809499152, 'yaw': 0.2992609426246173, 'norm': 0.16171075332382898, 'rvec': array([-2.7004323 , -0.00814085, -0.00327352])}},AR-move:straight,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
35768,state:6,Time:21:44:23,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:0.0022222222222222222,az:-0.017777777777777778,q: 0.125,rV:     0,lV:     0,Camera:29,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.0037028706982916745, 'y': 0.03840285870984398, 'z': 0.15648196060658737, 'roll': -154.9030743703368, 'pitch': -2.2303486453279984, 'yaw': -0.458113005129008, 'norm': 0.16116790872806555, 'rvec': array([-2.70325202e+00, -9.05457418e-04, -5.50258060e-02])}},AR-move:straight,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
36757,state:6,Time:21:44:24,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:-0.0022222222222222222,az:-0.0011111111111111111,q:0.1875,rV:     0,lV:     0,Camera:30,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.017203246367543754, 'y': 0.040630863708583216, 'z': 0.14696404700832022, 'roll': -153.70812295374682, 'pitch': 1.575440978100793, 'yaw': 0.5432517311105546, 'norm': 0.15344461503862436, 'rvec': array([-2.68259342, -0.00410335,  0.0398531 ])}},AR-move:straight,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
37794,state:6,Time:21:44:25,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:   0.0,az:0.0011111111111111111,q:0.1875,rV:     0,lV:     0,Camera:31,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.002898490489673486, 'y': 0.04417436677860633, 'z': 0.13791731903969867, 'roll': -154.16355887863963, 'pitch': -0.8424025296829708, 'yaw': 0.6292888786967198, 'norm': 0.14484806805238237, 'rvec': array([-2.69048103, -0.01931194, -0.01639027])}},AR-move:straight,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
38810,state:6,Time:21:44:26,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:-0.0011111111111111111,az:-0.0033333333333333335,q:0.1875,rV:     0,lV:     0,Camera:32,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.004594069851076604, 'y': 0.042972574182736464, 'z': 0.14188756847081682, 'roll': -154.67098748096126, 'pitch': -0.8622069463725348, 'yaw': 0.13347412112372728, 'norm': 0.14832339564697167, 'rvec': array([-2.69943129, -0.00770841, -0.01960487])}},AR-move:straight,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
39803,state:6,Time:21:44:27,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:   0.0,az:-0.0011111111111111111,q:0.1875,rV:     0,lV:     0,Camera:33,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.0059587299975086975, 'y': 0.04300502698899265, 'z': 0.14235149048653717, 'roll': -155.127217053047, 'pitch': -4.0916169393723365, 'yaw': -1.0449573754588357, 'norm': 0.1488250168931483, 'rvec': array([-2.70650337,  0.00336017, -0.10211537])}},AR-move:straight,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
40860,state:6,Time:21:44:28,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:   0.0,az:   0.0,q:0.1875,rV:     0,lV:     0,Camera:34,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009058527194518403, 'y': 0.04156244551550848, 'z': 0.14316470434459122, 'roll': -153.449757729374, 'pitch': 0.035199725672385954, 'yaw': 0.2585488899352565, 'norm': 0.14935068249672534, 'rvec': array([-2.67819879e+00, -5.84863918e-03,  2.24834883e-03])}},AR-move:straight-right,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
41846,state:6,Time:21:44:29,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:0.0011111111111111111,az:   0.0,q:0.1875,rV:     0,lV:     0,Camera:35,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.010031054417098425, 'y': 0.04063909964435311, 'z': 0.1458282189327538, 'roll': -153.51300824405627, 'pitch': -1.5407151678563324, 'yaw': 0.20101151071286522, 'norm': 0.1517169334969621, 'rvec': array([-2.6790436 , -0.01317743, -0.03491683])}},AR-move:straight-right,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
42841,state:6,Time:21:44:30,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:0.005555555555555556,az:-0.005555555555555556,q:0.1875,rV:     0,lV:     0,Camera:36,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.01032113582170299, 'y': 0.04141600097713257, 'z': 0.14544441821851553, 'roll': -154.29428239363446, 'pitch': -1.1755220296922333, 'yaw': 0.1082265373698991, 'norm': 0.1515779989725103, 'rvec': array([-2.69279775, -0.00884622, -0.02704446])}},AR-move:straight-right,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
43877,state:6,Time:21:44:31,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:-0.0022222222222222222,az:-0.0011111111111111111,q:0.1875,rV:     0,lV:     0,Camera:37,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.010315676220521831, 'y': 0.04141043899744981, 'z': 0.14535215873030716, 'roll': -154.60715645108095, 'pitch': -1.5511385912365814, 'yaw': -0.031327247172728855, 'norm': 0.15148758259807488, 'rvec': array([-2.69819276, -0.00749136, -0.03669176])}},AR-move:straight-right,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
44877,state:6,Time:21:44:32,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:0.0022222222222222222,az:-0.0011111111111111111,q:0.1875,rV:     0,lV:     0,Camera:38,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.01032113582170299, 'y': 0.04141600097713257, 'z': 0.14544441821851553, 'roll': -154.29428239363446, 'pitch': -1.1755220296922333, 'yaw': 0.1082265373698991, 'norm': 0.1515779989725103, 'rvec': array([-2.69279775, -0.00884622, -0.02704446])}},AR-move:straight-right,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
45914,state:6,Time:21:44:34,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0022222222222222222,az:-0.0022222222222222222,q:0.1875,rV:     0,lV:     0,Camera:39,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.010383678397035852, 'y': 0.04157627011107291, 'z': 0.14601020831842695, 'roll': -154.5630815684218, 'pitch': -1.572421424136216, 'yaw': 0.2221737052709916, 'norm': 0.15216894540803128, 'rvec': array([-2.69735258, -0.01358409, -0.03583518])}},AR-move:straight-right,Color-Approach:True,Color-data:x798y:902Area:23100.0,Color-move:stop,Done-Approach:False,Done-Connect:False
