5235,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:0.0022222222222222222,q:   0.0,rV:     0,lV:     0,Camera:0,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
33036,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:0.0011111111111111111,az:0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:27,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.010332362644341495, 'y': 0.032295609308989115, 'z': 0.14724184417093428, 'roll': -154.4130868317341, 'pitch': 33.991948675641005, 'yaw': 16.62413518008908, 'norm': 0.15109574703912332, 'rvec': array([-2.65092437, -0.20126695,  0.88919415])}},AR-move:stay-left,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
34046,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:-0.0011111111111111111,az:0.0022222222222222222,q:   0.0,rV:     0,lV:     0,Camera:28,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.010349626531842624, 'y': 0.032241159591473924, 'z': 0.14718369447804275, 'roll': -153.58400950350887, 'pitch': 33.367691065025824, 'yaw': 17.251178628010177, 'norm': 0.1510286299393507, 'rvec': array([-2.64117487, -0.2125987 ,  0.87625894])}},AR-move:stay-left,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
35124,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:0.0022222222222222222,az:-0.0022222222222222222,q:   0.0,rV:     0,lV:     0,Camera:29,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.010372855693286385, 'y': 0.03224502877125506, 'z': 0.14720320591541292, 'roll': -153.4484373859418, 'pitch': 33.79316941534846, 'yaw': 17.236490887076528, 'norm': 0.1510500640432445, 'rvec': array([-2.63748733, -0.2084491 ,  0.88585224])}},AR-move:stay-left,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
36112,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:0.0022222222222222222,az:0.0033333333333333335,q:   0.0,rV:     0,lV:     0,Camera:30,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.010393898173243142, 'y': 0.03219644675883292, 'z': 0.1471837262438676, 'roll': -154.32001321987684, 'pitch': 34.50652488303704, 'yaw': 16.597572544636947, 'norm': 0.15102216252643144, 'rvec': array([-2.6474396 , -0.19672436,  0.90093217])}},AR-move:stay-left,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
37091,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:0.0011111111111111111,az:0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:31,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.010353335899179023, 'y': 0.03226956160403936, 'z': 0.14722505893241877, 'roll': -154.78334428036237, 'pitch': 34.562792671687845, 'yaw': 16.291810657494352, 'norm': 0.15107525988067108, 'rvec': array([-2.65392976, -0.19327134,  0.90165183])}},AR-move:stay-left,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
38115,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:32,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': -0.010709050294945077, 'y': 0.03223022994571816, 'z': 0.14763795170978955, 'roll': -154.1035643089098, 'pitch': 34.40514979579245, 'yaw': 17.02585922803241, 'norm': 0.1514940139597459, 'rvec': array([-2.64532647, -0.20546725,  0.90043873])}},AR-move:stay-left,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
39119,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0022222222222222222,ay:0.005555555555555556,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:33,ConnectingState:1,AR-Approach:True,AR-info:{'6': {'x': 0.010627725721807273, 'y': 0.03318768890012564, 'z': 0.14972417515778697, 'roll': -152.3787923709427, 'pitch': -44.85131832077885, 'yaw': -13.890450450707643, 'norm': 0.153726054640159, 'rvec': array([-2.55709618,  0.05144169, -1.1180528 ])}},AR-move:stay-left,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
40144,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:-0.0044444444444444444,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:34,ConnectingState:1,AR-Approach:True,AR-info:{'6': {'x': 0.010616878632898145, 'y': 0.033085102388558864, 'z': 0.14925872463497072, 'roll': -152.1078679514006, 'pitch': -44.664035267700655, 'yaw': -13.811735359902102, 'norm': 0.15324982542118973, 'rvec': array([-2.55371296,  0.04820123, -1.11208919])}},AR-move:stay-left,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:False,Done-Connect:False
63713,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:   0.0,az:-0.0022222222222222222,q:0.0625,rV:     0,lV:     0,Camera:35,ConnectingState:2,AR-Approach:True,AR-info:{'6': {'x': 0.010682065913706195, 'y': 0.03328805690356373, 'z': 0.15018045098165314, 'roll': -152.6384260739984, 'pitch': -45.00815562735789, 'yaw': -13.981792620344773, 'norm': 0.15419587906832136, 'rvec': array([-2.56053099,  0.05507637, -1.12335716])}},AR-move:stop,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:True,Done-Connect:False
63750,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0077777777777777776,ay:-0.0011111111111111111,az:0.0033333333333333335,q:0.0625,rV:     0,lV:     0,Camera:35,ConnectingState:2,AR-Approach:True,AR-info:{'6': {'x': 0.010682065913706195, 'y': 0.03328805690356373, 'z': 0.15018045098165314, 'roll': -152.6384260739984, 'pitch': -45.00815562735789, 'yaw': -13.981792620344773, 'norm': 0.15419587906832136, 'rvec': array([-2.56053099,  0.05507637, -1.12335716])}},AR-move:stop,Color-Approach:True,Color-data:x953y:884Area:29663.5,Color-move:stop,Done-Approach:True,Done-Connect:False
