22902,state:3,Time:09:28:36,Lat:0.00000000,Lng:0.00000000,ax:-0.03666666666666667,ay:-0.022222222222222223,az:0.0022222222222222222,q: 192.5,Camera:45,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.27,gy: -3.19,gz: -9.26,mirrer-detection:True
23294,state:3,Time:09:28:36,Lat:0.00000000,Lng:0.00000000,ax:-0.04666666666666667,ay:0.015555555555555555,az:0.0011111111111111111,q:192.4375,Camera:46,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.31,gy: -3.18,gz: -9.27,mirrer-detection:True
23692,state:3,Time:09:28:37,Lat:0.00000000,Lng:0.00000000,ax:0.2088888888888889,ay:-0.06777777777777778,az:-0.3711111111111111,q:188.4375,Camera:47,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx:  0.52,gy: -3.29,gz: -9.21,mirrer-detection:True
24087,state:3,Time:09:28:37,Lat:0.00000000,Lng:0.00000000,ax:36.17333333333333,ay: -0.15,az:-0.41888888888888887,q:182.625,Camera:48,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx:  -0.3,gy: -2.96,gz: -9.34,mirrer-detection:True
24486,state:3,Time:09:28:38,Lat:0.00000000,Lng:0.00000000,ax:0.5755555555555556,ay:-0.4222222222222222,az:-0.07777777777777778,q:179.0625,Camera:49,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.89,gy: -3.07,gz: -9.26,mirrer-detection:True
24877,state:3,Time:09:28:38,Lat:0.00000000,Lng:0.00000000,ax:-0.05333333333333334,ay:-0.6311111111111111,az:-0.12444444444444444,q:173.8125,Camera:50,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx:  -1.2,gy: -3.48,gz: -9.08,mirrer-detection:True
25270,state:3,Time:09:28:38,Lat:0.00000000,Lng:0.00000000,ax:-0.43555555555555553,ay:-0.13111111111111112,az:0.042222222222222223,q:171.625,Camera:51,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.95,gy: -3.16,gz: -9.23,mirrer-detection:True
25668,state:3,Time:09:28:39,Lat:0.00000000,Lng:0.00000000,ax:-0.06555555555555556,ay:0.04555555555555556,az:0.07444444444444444,q:171.75,Camera:52,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.85,gy: -2.86,gz: -9.33,mirrer-detection:True
26059,state:3,Time:09:28:39,Lat:0.00000000,Lng:0.00000000,ax:0.01888888888888889,ay:-0.8344444444444444,az:-0.31222222222222223,q:166.4375,Camera:53,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.26,gy:  -2.9,gz: -9.36,mirrer-detection:True
26453,state:3,Time:09:28:40,Lat:0.00000000,Lng:0.00000000,ax:0.10777777777777778,ay: -0.14,az:0.3011111111111111,q:166.4375,Camera:54,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx:  -1.3,gy: -3.06,gz: -9.22,mirrer-detection:True
26863,state:3,Time:09:28:40,Lat:0.00000000,Lng:0.00000000,ax:-0.4011111111111111,ay:0.5533333333333333,az:  0.26,q:172.9375,Camera:55,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -2.46,gy: -2.94,gz: -9.02,mirrer-detection:True
27251,state:3,Time:09:28:40,Lat:0.00000000,Lng:0.00000000,ax:-0.17555555555555555,ay:0.19444444444444445,az:0.19666666666666666,q:172.4375,Camera:56,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -1.66,gy: -1.93,gz: -9.46,mirrer-detection:True
27649,state:3,Time:09:28:41,Lat:0.00000000,Lng:0.00000000,ax:0.0077777777777777776,ay:0.19666666666666666,az:-0.035555555555555556,q:173.0625,Camera:57,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx:  -0.9,gy:  -2.0,gz: -9.55,mirrer-detection:True
28037,state:3,Time:09:28:41,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.028888888888888888,az:0.021111111111111112,q:172.875,Camera:58,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.69,gy: -2.04,gz: -9.56,mirrer-detection:True
28429,state:3,Time:09:28:42,Lat:0.00000000,Lng:0.00000000,ax:-0.03888888888888889,ay:0.09888888888888889,az:-0.0044444444444444444,q:172.8125,Camera:59,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx: -0.64,gy: -2.03,gz: -9.57,mirrer-detection:True
28818,state:3,Time:09:28:42,Lat:0.00000000,Lng:0.00000000,ax:-0.05444444444444444,ay: -0.04,az:-0.005555555555555556,q:172.8125,Camera:60,rV:    90,lV:    90,Color-Approach:False,Color-data: x:noney:noneArea:none,Color-move:stop,gx:  -0.6,gy: -2.04,gz: -9.57,mirrer-detection:True
