5182,state:6,Time:19:39:04,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:   0.0,az:-0.0022222222222222222,q:   0.0,rV:     0,lV:     0,Camera:0,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
29181,state:6,Time:19:39:28,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:0.0011111111111111111,az:-0.0022222222222222222,q:   0.0,rV:     0,lV:     0,Camera:23,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009516909506805006, 'y': 0.0339548685522695, 'z': 0.16360187158811845, 'roll': -154.95689844463897, 'pitch': -1.6960915623917896, 'yaw': 1.5095313810171038, 'norm': 0.16735912598988384}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
30203,state:6,Time:19:39:29,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:-0.0022222222222222222,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:24,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009516909506805006, 'y': 0.0339548685522695, 'z': 0.16360187158811845, 'roll': -154.95689844463897, 'pitch': -1.6960915623917896, 'yaw': 1.5095313810171038, 'norm': 0.16735912598988384}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
31254,state:6,Time:19:39:30,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:   0.0,az:-0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:25,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009516909506805006, 'y': 0.0339548685522695, 'z': 0.16360187158811845, 'roll': -154.95689844463897, 'pitch': -1.6960915623917896, 'yaw': 1.5095313810171038, 'norm': 0.16735912598988384}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
32283,state:6,Time:19:39:31,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:   0.0,az:-0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:26,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009516909506805006, 'y': 0.0339548685522695, 'z': 0.16360187158811845, 'roll': -154.95689844463897, 'pitch': -1.6960915623917896, 'yaw': 1.5095313810171038, 'norm': 0.16735912598988384}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
33309,state:6,Time:19:39:32,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:27,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009516909506805006, 'y': 0.0339548685522695, 'z': 0.16360187158811845, 'roll': -154.95689844463897, 'pitch': -1.6960915623917896, 'yaw': 1.5095313810171038, 'norm': 0.16735912598988384}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
34350,state:6,Time:19:39:33,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:-0.0022222222222222222,q:   0.0,rV:     0,lV:     0,Camera:28,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009516909506805006, 'y': 0.0339548685522695, 'z': 0.16360187158811845, 'roll': -154.95689844463897, 'pitch': -1.6960915623917896, 'yaw': 1.5095313810171038, 'norm': 0.16735912598988384}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
35353,state:6,Time:19:39:34,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:   0.0,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:29,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.00944942304223876, 'y': 0.033779618115893126, 'z': 0.16286445938968422, 'roll': -154.20543696893995, 'pitch': -1.6192025395130654, 'yaw': 1.767966405659791, 'norm': 0.16659887853218242}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
36365,state:6,Time:19:39:35,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0022222222222222222,az:0.0022222222222222222,q:   0.0,rV:     0,lV:     0,Camera:30,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009516909506805006, 'y': 0.0339548685522695, 'z': 0.16360187158811845, 'roll': -154.95689844463897, 'pitch': -1.6960915623917896, 'yaw': 1.5095313810171038, 'norm': 0.16735912598988384}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
37448,state:6,Time:19:39:37,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:0.0044444444444444444,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:31,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009516909506805006, 'y': 0.0339548685522695, 'z': 0.16360187158811845, 'roll': -154.95689844463897, 'pitch': -1.6960915623917896, 'yaw': 1.5095313810171038, 'norm': 0.16735912598988384}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
38457,state:6,Time:19:39:38,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:-0.0011111111111111111,az:0.0011111111111111111,q:   0.0,rV:     0,lV:     0,Camera:32,ConnectingState:1,AR-Approach:True,AR-info:{'5': {'x': 0.009516909506805006, 'y': 0.0339548685522695, 'z': 0.16360187158811845, 'roll': -154.95689844463897, 'pitch': -1.6960915623917896, 'yaw': 1.5095313810171038, 'norm': 0.16735912598988384}},AR-move:straight,Color-Approach:True,Color-data:x1104y:810Area:39365.0,Color-move:stop,Done-Approach:False,Done-Connect:False
