5213,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0044444444444444444,ay:   0.0,az:0.005555555555555556,q:   0.0,Camera:0,rV:     0,lV:     0,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
28750,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0022222222222222222,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:0.0625,Camera:23,rV:   -80,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.015525412975644661, 'y': 0.026039248994054423, 'z': 0.1575198358160817, 'roll': 114.06630879416036, 'pitch': 0.3420023992750913, 'yaw': -0.09741285081133964, 'norm': 0.1604106592834903, 'rvec': array([ 1.99083036,  0.00216133, -0.00703936])}},AR-move:stay-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
29791,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0011111111111111111,ay:0.0033333333333333335,az:   0.0,q:0.0625,Camera:24,rV:   -80,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.015525412975644661, 'y': 0.026039248994054423, 'z': 0.1575198358160817, 'roll': 114.06630879416036, 'pitch': 0.3420023992750913, 'yaw': -0.09741285081133964, 'norm': 0.1604106592834903, 'rvec': array([ 1.99083036,  0.00216133, -0.00703936])}},AR-move:stay-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
30821,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:   0.0,az:0.0022222222222222222,q:0.0625,Camera:25,rV:   -80,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.015525412975644661, 'y': 0.026039248994054423, 'z': 0.1575198358160817, 'roll': 114.06630879416036, 'pitch': 0.3420023992750913, 'yaw': -0.09741285081133964, 'norm': 0.1604106592834903, 'rvec': array([ 1.99083036,  0.00216133, -0.00703936])}},AR-move:stay-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
31820,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0022222222222222222,ay:0.0033333333333333335,az:-0.0022222222222222222,q:0.0625,Camera:26,rV:   -80,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.01543357050007486, 'y': 0.02592432675000313, 'z': 0.1568267046118155, 'roll': 113.89669607101689, 'pitch': 0.6779942136759883, 'yaw': -0.15432024211164427, 'norm': 0.15970247679739769, 'rvec': array([ 1.98786016,  0.00497604, -0.0135034 ])}},AR-move:stay-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
32822,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0022222222222222222,ay:-0.0011111111111111111,az:   0.0,q:0.0625,Camera:27,rV:   -80,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.010846401743935792, 'y': 0.023402850274945347, 'z': 0.16459483843854453, 'roll': 113.74151498272683, 'pitch': 0.6781042070742874, 'yaw': -0.30964778215342487, 'norm': 0.1666037174627053, 'rvec': array([ 1.98516364,  0.00230232, -0.01524818])}},AR-move:stay-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
33864,state:6,Time:0,Lat:     0,Lng:     0,ax:0.0022222222222222222,ay:-0.0011111111111111111,az:   0.0,q:0.0625,Camera:28,rV:     0,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.011044495308195627, 'y': 0.023617409459334823, 'z': 0.16609998829369843, 'roll': 114.06766717552526, 'pitch': 0.017090137425541437, 'yaw': -0.216203009582163, 'norm': 0.1681337830935514, 'rvec': array([ 1.99085418, -0.00356363, -0.00273307])}},AR-move:straight-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
34914,state:6,Time:0,Lat:     0,Lng:     0,ax:   0.0,ay:   0.0,az:-0.0011111111111111111,q:0.0625,Camera:29,rV:     0,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.011044495308195627, 'y': 0.023617409459334823, 'z': 0.16609998829369843, 'roll': 114.06766717552526, 'pitch': 0.017090137425541437, 'yaw': -0.216203009582163, 'norm': 0.1681337830935514, 'rvec': array([ 1.99085418, -0.00356363, -0.00273307])}},AR-move:straight-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
35928,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0011111111111111111,ay:   0.0,az:-0.0022222222222222222,q:0.0625,Camera:30,rV:     0,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.011044495308195627, 'y': 0.023617409459334823, 'z': 0.16609998829369843, 'roll': 114.06766717552526, 'pitch': 0.017090137425541437, 'yaw': -0.216203009582163, 'norm': 0.1681337830935514, 'rvec': array([ 1.99085418, -0.00356363, -0.00273307])}},AR-move:straight-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
36974,state:6,Time:0,Lat:     0,Lng:     0,ax:0.03888888888888889,ay:-0.006666666666666667,az:0.051111111111111114,q:359.625,Camera:31,rV:     0,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.011022672651403078, 'y': 0.023518596603113655, 'z': 0.16540870433587443, 'roll': 113.92171078658714, 'pitch': 0.3774727345076011, 'yaw': -0.26840224301478044, 'norm': 0.16743554929773038, 'rvec': array([ 1.98831189e+00, -3.97366469e-04, -9.57852058e-03])}},AR-move:straight-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
38004,state:6,Time:0,Lat:     0,Lng:     0,ax:-0.0022222222222222222,ay:   0.0,az:-0.0033333333333333335,q:359.375,Camera:32,rV:     0,lV:    80,ConnectingState:1,AR-Approach:True,AR-info:{'3': {'x': 0.01271680352339565, 'y': 0.02267815649008956, 'z': 0.16482758832776176, 'roll': 113.76307258454649, 'pitch': 1.2518699298706193, 'yaw': -0.138340018962635, 'norm': 0.16686566377654735, 'rvec': array([ 1.9854744 ,  0.01175337, -0.02325488])}},AR-move:straight-right,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
