5229,state:6,Time:18:48:57,Lat:0.00000000,Lng:0.00000000,ax:-0.0044444444444444444,ay:0.0044444444444444444,az:0.0011111111111111111,q:   0.0,Camera:0,rV:     0,lV:     0,ConnectingState:1,AR-Approach:False,AR-info:{},AR-move:none,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
34093,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.0022222222222222222,az:   0.0,q:367.9375,Camera:22,rV:    80,lV:    85,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.006880066950698582, 'y': 0.03675072638936853, 'z': 0.1458360698129061, 'roll': -150.3496971901176, 'pitch': 25.002143460060672, 'yaw': 18.940333057154593, 'norm': 0.15055268336986605, 'rvec': array([-2.61099393, -0.2795739 ,  0.68744274])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
35340,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0011111111111111111,az:-0.0011111111111111111,q:359.9375,Camera:23,rV:    80,lV:    85,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.006880066950698582, 'y': 0.03675072638936853, 'z': 0.1458360698129061, 'roll': -150.3496971901176, 'pitch': 25.002143460060672, 'yaw': 18.940333057154593, 'norm': 0.15055268336986605, 'rvec': array([-2.61099393, -0.2795739 ,  0.68744274])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
36911,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:-0.0011111111111111111,az:0.0033333333333333335,q:367.9375,Camera:24,rV:    80,lV:    85,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.006880066950698582, 'y': 0.03675072638936853, 'z': 0.1458360698129061, 'roll': -150.3496971901176, 'pitch': 25.002143460060672, 'yaw': 18.940333057154593, 'norm': 0.15055268336986605, 'rvec': array([-2.61099393, -0.2795739 ,  0.68744274])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
38362,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:   0.0,az:   0.0,q:359.9375,Camera:25,rV:    80,lV:    85,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.006880066950698582, 'y': 0.03675072638936853, 'z': 0.1458360698129061, 'roll': -150.3496971901176, 'pitch': 25.002143460060672, 'yaw': 18.940333057154593, 'norm': 0.15055268336986605, 'rvec': array([-2.61099393, -0.2795739 ,  0.68744274])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
39353,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:0.0033333333333333335,ay:0.0011111111111111111,az:-0.0011111111111111111,q:359.9375,Camera:26,rV:    80,lV:    85,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.006880066950698582, 'y': 0.03675072638936853, 'z': 0.1458360698129061, 'roll': -150.3496971901176, 'pitch': 25.002143460060672, 'yaw': 18.940333057154593, 'norm': 0.15055268336986605, 'rvec': array([-2.61099393, -0.2795739 ,  0.68744274])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
40947,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:0.14555555555555555,ay:-0.0033333333333333335,az:   0.0,q:367.9375,Camera:27,rV:    80,lV:    85,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.006378317931106179, 'y': 0.03740758439875606, 'z': 0.14575697178394711, 'roll': -149.88958208575207, 'pitch': 26.565387718091078, 'yaw': 19.215404643439467, 'norm': 0.15061575327238078, 'rvec': array([-2.60113706, -0.27221371,  0.72469889])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
42259,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:-0.0033333333333333335,ay:0.005555555555555556,az:0.0011111111111111111,q:367.9375,Camera:28,rV:    80,lV:    85,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.0065417616650498105, 'y': 0.037387283409454825, 'z': 0.14421090104942488, 'roll': -150.30582707098742, 'pitch': 26.05052665386372, 'yaw': 19.441556460544582, 'norm': 0.14912205600751427, 'rvec': array([-2.60898253, -0.2839587 ,  0.7145152 ])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
43849,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:0.14222222222222222,ay:   0.0,az:   0.0,q:367.9375,Camera:29,rV:    80,lV:    85,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.0065417616650498105, 'y': 0.037387283409454825, 'z': 0.14421090104942488, 'roll': -150.30582707098742, 'pitch': 26.05052665386372, 'yaw': 19.441556460544582, 'norm': 0.14912205600751427, 'rvec': array([-2.60898253, -0.2839587 ,  0.7145152 ])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
45217,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:0.14333333333333334,ay:   0.0,az:   0.0,q:367.9375,Camera:30,rV:    80,lV:    85,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.005289150461132425, 'y': 0.03815899749982221, 'z': 0.14217130232352349, 'roll': -148.6487809307545, 'pitch': 27.890011571766603, 'yaw': 21.135774172799476, 'norm': 0.1472982125049678, 'rvec': array([-2.58008614, -0.29769669,  0.76578383])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
46832,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:  0.16,ay:-0.0011111111111111111,az:-0.0033333333333333335,q:367.9375,Camera:31,rV:   -90,lV:   -90,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.005246250365167408, 'y': 0.038003383380651304, 'z': 0.14158865668254925, 'roll': -148.3143013201442, 'pitch': 27.84495824453361, 'yaw': 21.020475067118056, 'norm': 0.14669399439799702, 'rvec': array([-2.57461061, -0.29271673,  0.76380315])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
48130,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:0.14666666666666667,ay:0.0011111111111111111,az:0.0033333333333333335,q:367.9375,Camera:32,rV:   -90,lV:   -90,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.005233881934970008, 'y': 0.03913054522422232, 'z': 0.13924289774558296, 'roll': -148.88536198652665, 'pitch': 27.588665248701762, 'yaw': 20.96588973602452, 'norm': 0.14473139832890786, 'rvec': array([-2.5842968 , -0.29776522,  0.75803109])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
49744,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:-0.0033333333333333335,az:   0.0,q:367.9375,Camera:33,rV:   -90,lV:   -90,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.00526103154004172, 'y': 0.039133641308886184, 'z': 0.13939449045788305, 'roll': -149.02017188351078, 'pitch': 27.281495541088738, 'yaw': 20.472538559437865, 'norm': 0.14487906786341057, 'rvec': array([-2.58663686, -0.28961918,  0.74808516])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
50893,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:0.0011111111111111111,q:359.9375,Camera:34,rV:   -90,lV:   -90,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.005666496487013679, 'y': 0.038489229891048235, 'z': 0.1421706513194741, 'roll': -150.58037611085354, 'pitch': 26.8706648793034, 'yaw': 19.459536445822664, 'norm': 0.1473975036988306, 'rvec': array([-2.61215868, -0.28105977,  0.73370335])}},AR-move:back,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
52477,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:0.14333333333333334,ay:0.005555555555555556,az:-0.0033333333333333335,q:367.9375,Camera:35,rV:    80,lV:    85,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.005666496487013679, 'y': 0.038489229891048235, 'z': 0.1421706513194741, 'roll': -150.58037611085354, 'pitch': 26.8706648793034, 'yaw': 19.459536445822664, 'norm': 0.1473975036988306, 'rvec': array([-2.61215868, -0.28105977,  0.73370335])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
53947,state:6,Time:18:48:58,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:0.0022222222222222222,az:0.0011111111111111111,q:367.9375,Camera:36,rV:    80,lV:    85,ConnectingState:1,AR-Approach:True,AR-info:{'4': {'x': 0.005666496487013679, 'y': 0.038489229891048235, 'z': 0.1421706513194741, 'roll': -150.58037611085354, 'pitch': 26.8706648793034, 'yaw': 19.459536445822664, 'norm': 0.1473975036988306, 'rvec': array([-2.61215868, -0.28105977,  0.73370335])}},AR-move:straight,Color-Approach:False,Color-data:x0y:0Area:0,Color-move:none,Done-Approach:False,Done-Connect:False
