7073,state:0,Time:18:17:42,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:   0.0,az:-0.0033333333333333335,q:359.9375,rV:     0,lV:     0,Camera:0
7108,state:0,Time:18:17:42,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0011111111111111111,az:   0.0,q:359.9375,rV:     0,lV:     0,Camera:0
7143,state:0,Time:18:17:42,Lat:0.00000000,Lng:0.00000000,ax:-0.12777777777777777,ay:0.0033333333333333335,az:0.03222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
7178,state:0,Time:18:17:42,Lat:0.00000000,Lng:0.00000000,ax:0.2633333333333333,ay:-0.005555555555555556,az:-0.057777777777777775,q:359.9375,rV:     0,lV:     0,Camera:0
7214,state:0,Time:18:17:42,Lat:0.00000000,Lng:0.00000000,ax:-0.17555555555555555,ay:0.03666666666666667,az:0.09555555555555556,q:359.9375,rV:     0,lV:     0,Camera:0
7248,state:0,Time:18:17:42,Lat:0.00000000,Lng:0.00000000,ax:0.02666666666666667,ay:0.008888888888888889,az:-0.03666666666666667,q:359.875,rV:     0,lV:     0,Camera:0
7284,state:0,Time:18:17:42,Lat:0.00000000,Lng:0.00000000,ax:0.10555555555555556,ay:   0.0,az:-0.14555555555555555,q:359.875,rV:     0,lV:     0,Camera:0
7321,state:0,Time:18:17:42,Lat:0.00000000,Lng:0.00000000,ax:-0.04555555555555556,ay:  0.01,az:0.03888888888888889,q:359.9375,rV:     0,lV:     0,Camera:0
7356,state:0,Time:18:17:42,Lat:0.00000000,Lng:0.00000000,ax: -0.02,ay:0.012222222222222223,az:-0.02666666666666667,q:359.875,rV:     0,lV:     0,Camera:0
7390,state:0,Time:18:17:42,Lat:0.00000000,Lng:0.00000000,ax:-0.057777777777777775,ay:0.0011111111111111111,az:0.03333333333333333,q:359.875,rV:     0,lV:     0,Camera:0
7425,state:0,Time:18:17:42,Lat:0.00000000,Lng:0.00000000,ax:  0.14,ay:-0.017777777777777778,az: -0.05,q:359.875,rV:     0,lV:     0,Camera:0
7461,state:0,Time:18:17:42,Lat:0.00000000,Lng:0.00000000,ax:-0.035555555555555556,ay:0.014444444444444444,az:0.0033333333333333335,q:359.9375,rV:     0,lV:     0,Camera:0
7495,state:0,Time:18:17:42,Lat:0.00000000,Lng:0.00000000,ax:-0.021111111111111112,ay:0.005555555555555556,az:0.012222222222222223,q:359.875,rV:     0,lV:     0,Camera:0
7533,state:0,Time:18:17:42,Lat:0.00000000,Lng:0.00000000,ax:0.015555555555555555,ay:-0.015555555555555555,az:-0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
7568,state:0,Time:18:17:43,Lat:0.00000000,Lng:0.00000000,ax:0.027777777777777776,ay:-0.011111111111111112,az:0.0033333333333333335,q:359.875,rV:     0,lV:     0,Camera:0
7604,state:0,Time:18:17:43,Lat:0.00000000,Lng:0.00000000,ax:-0.04888888888888889,ay:0.014444444444444444,az:-0.006666666666666667,q:359.875,rV:     0,lV:     0,Camera:0
7640,state:0,Time:18:17:43,Lat:0.00000000,Lng:0.00000000,ax: -0.02,ay:   0.0,az:0.011111111111111112,q:359.875,rV:     0,lV:     0,Camera:0
7675,state:0,Time:18:17:43,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay: -0.01,az:-0.0077777777777777776,q:359.875,rV:     0,lV:     0,Camera:0
7712,state:0,Time:18:17:43,Lat:0.00000000,Lng:0.00000000,ax:-0.012222222222222223,ay:0.0022222222222222222,az:0.008888888888888889,q:359.875,rV:     0,lV:     0,Camera:0
7747,state:0,Time:18:17:43,Lat:0.00000000,Lng:0.00000000,ax:-0.0077777777777777776,ay:0.0033333333333333335,az:-0.0077777777777777776,q:359.875,rV:     0,lV:     0,Camera:0
7786,state:0,Time:18:17:43,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:-0.0044444444444444444,az:0.008888888888888889,q:359.875,rV:     0,lV:     0,Camera:0
7821,state:0,Time:18:17:43,Lat:0.00000000,Lng:0.00000000,ax:0.0077777777777777776,ay:-0.0022222222222222222,az:-0.0033333333333333335,q:359.875,rV:     0,lV:     0,Camera:0
7856,state:0,Time:18:17:43,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.005555555555555556,az:0.0033333333333333335,q:359.875,rV:     0,lV:     0,Camera:0
7890,state:0,Time:18:17:43,Lat:0.00000000,Lng:0.00000000,ax:0.016666666666666666,ay:-0.0011111111111111111,az:-0.0044444444444444444,q:359.875,rV:     0,lV:     0,Camera:0
7926,state:0,Time:18:17:43,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:-0.0033333333333333335,az:0.006666666666666667,q:359.875,rV:     0,lV:     0,Camera:0
7961,state:0,Time:18:17:43,Lat:0.00000000,Lng:0.00000000,ax:0.022222222222222223,ay:-0.0011111111111111111,az:-0.0033333333333333335,q:359.875,rV:     0,lV:     0,Camera:0
7997,state:0,Time:18:17:43,Lat:0.00000000,Lng:0.00000000,ax:-0.011111111111111112,ay:0.0022222222222222222,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
8033,state:0,Time:18:17:43,Lat:0.00000000,Lng:0.00000000,ax:0.0077777777777777776,ay:-0.0033333333333333335,az:-0.0022222222222222222,q:359.875,rV:     0,lV:     0,Camera:0
8068,state:0,Time:18:17:43,Lat:0.00000000,Lng:0.00000000,ax:-0.008888888888888889,ay:-0.006666666666666667,az:0.0033333333333333335,q:359.875,rV:     0,lV:     0,Camera:0
8105,state:0,Time:18:17:43,Lat:0.00000000,Lng:0.00000000,ax:0.0077777777777777776,ay:   0.0,az:-0.0033333333333333335,q:359.875,rV:     0,lV:     0,Camera:0
8140,state:0,Time:18:17:43,Lat:0.00000000,Lng:0.00000000,ax:-0.013333333333333334,ay:0.0022222222222222222,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
8177,state:0,Time:18:17:43,Lat:0.00000000,Lng:0.00000000,ax:0.005555555555555556,ay:-0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
8215,state:0,Time:18:17:43,Lat:0.00000000,Lng:0.00000000,ax:-0.011111111111111112,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
8249,state:0,Time:18:17:43,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:-0.0011111111111111111,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:0
8286,state:0,Time:18:17:43,Lat:0.00000000,Lng:0.00000000,ax:-0.008888888888888889,ay:-0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:0
8320,state:0,Time:18:17:43,Lat:0.00000000,Lng:0.00000000,ax:0.0033333333333333335,ay:-0.0022222222222222222,az:0.0033333333333333335,q:359.875,rV:     0,lV:     0,Camera:0
